player,history,card,action,strat
1," ",0,0,0.400181
1," ",0,1,0.599819
1," ",1,0,0.999998
1," ",1,1,1.96878e-06
1," ",2,0,0.999998
1," ",2,1,2.40356e-06
1," ",3,0,0.999995
1," ",3,1,4.97266e-06
1," ",4,0,0.999994
1," ",4,1,5.86463e-06
1," ",5,0,0.999992
1," ",5,1,8.08571e-06
1," ",6,0,0.99999
1," ",6,1,9.74946e-06
1," ",7,0,0.99998
1," ",7,1,1.95189e-05
1," ",8,0,0.999951
1," ",8,1,4.93047e-05
1," ",9,0,1.68753e-06
1," ",9,1,0.999998
2," 1 ",0,0,0.999997
2," 1 ",0,1,1.6654e-06
2," 1 ",0,2,1.6654e-06
2," 1 ",1,0,0.736167
2," 1 ",1,1,0.26382
2," 1 ",1,2,1.32407e-05
2," 1 ",2,0,0.722369
2," 1 ",2,1,0.27762
2," 1 ",2,2,1.10489e-05
2," 1 ",3,0,0.706373
2," 1 ",3,1,0.293611
2," 1 ",3,2,1.67739e-05
2," 1 ",4,0,0.687168
2," 1 ",4,1,0.312816
2," 1 ",4,2,1.60716e-05
2," 1 ",5,0,0.664906
2," 1 ",5,1,0.335066
2," 1 ",5,2,2.78645e-05
2," 1 ",6,0,0.645229
2," 1 ",6,1,0.354738
2," 1 ",6,2,3.33726e-05
2," 1 ",7,0,0.628031
2," 1 ",7,1,0.371934
2," 1 ",7,2,3.49817e-05
2," 1 ",8,0,0.599425
2," 1 ",8,1,0.400517
2," 1 ",8,2,5.80761e-05
2," 1 ",9,0,1.03695e-06
2," 1 ",9,1,1.03695e-06
2," 1 ",9,2,0.999998
1," 1 2 ",0,0,0.999999
1," 1 2 ",0,1,1.38506e-06
1," 1 2 ",1,0,0.209184
1," 1 2 ",1,1,0.790816
1," 1 2 ",2,0,0.174324
1," 1 2 ",2,1,0.825676
1," 1 2 ",3,0,0.0859597
1," 1 2 ",3,1,0.91404
1," 1 2 ",4,0,0.0565588
1," 1 2 ",4,1,0.943441
1," 1 2 ",5,0,0.0324631
1," 1 2 ",5,1,0.967537
1," 1 2 ",6,0,0.0189112
1," 1 2 ",6,1,0.981089
1," 1 2 ",7,0,0.00687097
1," 1 2 ",7,1,0.993129
1," 1 2 ",8,0,0.0248402
1," 1 2 ",8,1,0.97516
1," 1 2 ",9,0,0.0253655
1," 1 2 ",9,1,0.974634
